id,MgI,e_MgI,n_MgI,[MgI],e_[MgI],n_[MgI],err_MgI,YII,e_YII,n_YII,[YII],e_[YII],n_[YII],err_YII
hd008638,7.458,0.082,3,-0.083,0.077,3,0.056,2.071,0.123,5,0.224,0.037,5,0.022
hd008828,7.484,0.034,3,-0.058,0.040,3,0.030,1.823,0.111,5,-0.024,0.028,5,0.017
hd012345,7.542,0.063,3,0.001,0.088,3,0.063,1.980,0.133,5,0.134,0.042,5,0.023
hd014747,7.527,0.061,3,-0.014,0.100,3,0.071,1.936,0.129,5,0.089,0.038,5,0.022
hd019034,7.430,0.043,3,-0.112,0.061,3,0.045,1.716,0.090,5,-0.130,0.007,5,0.015
hd020794,7.423,0.040,3,-0.119,0.028,3,0.027,1.715,0.090,5,-0.132,0.004,5,0.020
hd030278,7.544,0.024,3,0.003,0.055,3,0.040,1.806,0.097,5,-0.040,0.009,5,0.011
hd045364,7.575,0.060,3,0.034,0.091,3,0.065,1.981,0.118,5,0.134,0.028,5,0.017
hd078558,7.599,0.111,3,0.058,0.154,3,0.110,1.815,0.131,5,-0.032,0.044,5,0.025
hd085119,7.320,0.073,3,-0.222,0.033,3,0.025,1.825,0.071,5,-0.022,0.022,5,0.016
hd093351,7.522,0.045,3,-0.020,0.062,3,0.045,2.200,0.096,5,0.353,0.031,5,0.019
hd098281,7.467,0.053,3,-0.075,0.070,3,0.050,1.927,0.112,5,0.080,0.030,5,0.017
hd107094,7.391,0.166,3,-0.150,0.215,3,0.152,1.776,0.112,5,-0.071,0.023,5,0.016
hd110619,7.235,0.037,3,-0.307,0.027,3,0.020,1.653,0.073,5,-0.193,0.022,5,0.014
hd111232,7.295,0.091,3,-0.247,0.028,3,0.022,1.672,0.079,5,-0.175,0.016,5,0.013
hd128674,7.436,0.085,3,-0.106,0.134,3,0.095,1.698,0.088,5,-0.149,0.011,5,0.010
hd132648,7.277,0.039,3,-0.264,0.049,3,0.035,1.746,0.082,5,-0.101,0.017,5,0.012
hd133633,7.379,0.066,3,-0.163,0.115,3,0.082,1.760,0.096,5,-0.087,0.017,5,0.014
hd150433,7.408,0.069,3,-0.134,0.006,3,0.007,1.625,0.073,5,-0.222,0.020,5,0.012
hd167677,7.478,0.094,3,-0.064,0.030,3,0.023,1.775,0.083,5,-0.071,0.033,5,0.020
hd190954,7.512,0.074,3,-0.030,0.108,3,0.077,1.848,0.098,5,0.001,0.012,5,0.012
hd196761,7.437,0.064,3,-0.105,0.111,3,0.078,1.751,0.096,5,-0.096,0.005,5,0.009
hd197083,7.456,0.133,3,-0.086,0.183,3,0.130,1.763,0.099,5,-0.084,0.014,5,0.015
hd207869,7.204,0.060,3,-0.337,0.015,3,0.014,1.698,0.057,5,-0.149,0.037,5,0.021
hd213941,7.348,0.061,3,-0.194,0.004,3,0.012,1.585,0.088,5,-0.261,0.015,5,0.013
hd216777,7.415,0.069,3,-0.127,0.118,3,0.084,1.702,0.071,5,-0.145,0.026,5,0.016
hd219249,7.271,0.040,3,-0.270,0.052,3,0.037,1.727,0.079,5,-0.120,0.017,5,0.012
hd224619,7.392,0.092,3,-0.149,0.030,3,0.022,1.811,0.087,5,-0.036,0.016,5,0.010
hd224685,7.417,0.129,3,-0.124,0.171,3,0.121,1.881,0.122,5,0.034,0.037,5,0.021
vesta,7.542,0.063,3,0.000,0.000,3,0.000,1.847,0.092,5,0.000,0.000,5,0.000
