id,MgI,e_MgI,n_MgI,[MgI],e_[MgI],n_[MgI],err_MgI,YII,e_YII,n_YII,[YII],e_[YII],n_[YII],err_YII,feh,err_feh_,discoespesso,[Mg/Fe],e_[Mg/Fe],[Y/Mg],e_[Y/Mg],age_mean,age_std,age_ymg,err_age_ymg
hd008638,7.458,0.082,3,-0.083,0.077,3,0.056,2.071,0.123,5,0.224,0.037,5,0.022,-0.387,0.03,True,0.304,0.08263776376451629,0.307,0.0800812087820857,14.183,0.817,-5.264905,2.4482918941725473
hd008828,7.484,0.034,3,-0.058,0.04,3,0.03,1.823,0.111,5,-0.024,0.028,5,0.017,-0.147,0.025,False,0.089,0.04716990566028302,0.034,0.043462627624201465,11.522,0.842,3.1264279999999998,1.576618355542647
hd012345,7.542,0.063,3,0.001,0.088,3,0.063,1.98,0.133,5,0.134,0.042,5,0.023,-0.15,0.025,True,0.151,0.09148223871331528,0.133,0.09095603333479313,12.811,1.357,0.3736669999999993,2.718100169501117
hd014747,7.527,0.061,3,-0.014,0.1,3,0.071,1.936,0.129,5,0.089,0.038,5,0.022,-0.355,0.026,True,0.34099999999999997,0.10332473082471592,0.103,0.10239140588936164,13.549,0.995,0.49662700000000015,3.015788230266509
hd019034,7.43,0.043,3,-0.112,0.061,3,0.045,1.716,0.09,5,-0.13,0.007,5,0.015,-0.464,0.031,True,0.35200000000000004,0.068425141578224,-0.018000000000000002,0.06281719509815764,14.407,0.368,3.4719619999999995,2.022115601285446
hd020794,7.423,0.04,3,-0.119,0.028,3,0.027,1.715,0.09,5,-0.132,0.004,5,0.02,-0.394,0.044,True,0.275,0.05215361924162119,-0.013000000000000012,0.03440930106817051,14.119,0.388,3.5752369999999996,1.405219369096868
hd030278,7.544,0.024,3,0.003,0.055,3,0.04,1.806,0.097,5,-0.04,0.009,5,0.011,-0.129,0.027,True,0.132,0.061269894728161564,-0.043000000000000003,0.05608921464952063,12.583,1.053,5.321577,1.8577214204288006
hd045364,7.575,0.06,3,0.034,0.091,3,0.065,1.981,0.118,5,0.134,0.028,5,0.017,-0.147,0.022,True,0.181,0.09362157870918435,0.1,0.09257429448826493,12.532,1.349,1.2981619999999996,2.7590863437890087
hd078558,7.599,0.111,3,0.058,0.154,3,0.11,1.815,0.131,5,-0.032,0.044,5,0.025,-0.447,0.024,True,0.505,0.1558589105569521,-0.09,0.15601602481796542,12.161,1.249,5.525151999999999,4.442335432925569
hd085119,7.32,0.073,3,-0.222,0.033,3,0.025,1.825,0.071,5,-0.022,0.022,5,0.016,-0.163,0.032,False,-0.059,0.04596737973824482,0.2,0.0366742416417845,7.568,0.937,-1.5272020000000008,1.4428588629030907
hd093351,7.522,0.045,3,-0.02,0.062,3,0.045,2.2,0.096,5,0.353,0.031,5,0.019,-0.191,0.029,True,0.171,0.06844705983459042,0.373,0.0648459713474939,12.084,1.119,-6.416187,2.072777415182585
hd098281,7.467,0.053,3,-0.075,0.07,3,0.05,1.927,0.112,5,0.08,0.03,5,0.017,-0.24,0.022,True,0.16499999999999998,0.07337574531137657,0.155,0.07203471385380802,14.079,0.909,-0.546615000000001,2.241659867276479
hd107094,7.391,0.166,3,-0.15,0.215,3,0.152,1.776,0.112,5,-0.071,0.023,5,0.016,-0.493,0.025,True,0.34299999999999997,0.21644860821913361,0.079,0.2155945268321995,13.387,1.326,0.6847989999999999,6.060382918327108
hd110619,7.235,0.037,3,-0.307,0.027,3,0.02,1.653,0.073,5,-0.193,0.022,5,0.014,-0.405,0.021,False,0.09800000000000003,0.03420526275297414,0.11399999999999999,0.0304138126514911,12.461,0.69,0.019215999999999234,1.3273058539846798
hd111232,7.295,0.091,3,-0.247,0.028,3,0.022,1.672,0.079,5,-0.175,0.016,5,0.013,-0.43,0.027,True,0.183,0.03889730067755345,0.07200000000000001,0.030870698080866264,14.851,0.18,1.0963079999999996,1.3368850704084476
hd128674,7.436,0.085,3,-0.106,0.134,3,0.095,1.698,0.088,5,-0.149,0.011,5,0.01,-0.37,0.021,True,0.264,0.13563554106501732,-0.043,0.1343726162579266,13.503,1.316,4.489163,3.8602888345097957
hd132648,7.277,0.039,3,-0.264,0.049,3,0.035,1.746,0.082,5,-0.101,0.017,5,0.012,-0.349,0.024,False,0.08499999999999996,0.05456189146281496,0.163,0.050447993022517755,12.598,1.125,-1.1447090000000006,1.7334258348285339
hd133633,7.379,0.066,3,-0.163,0.115,3,0.082,1.76,0.096,5,-0.087,0.017,5,0.014,-0.444,0.022,True,0.281,0.11708543888972701,0.07600000000000001,0.11584903970253703,13.542,0.962,0.9371479999999992,3.3694289608236287
hd150433,7.408,0.069,3,-0.134,0.006,3,0.007,1.625,0.073,5,-0.222,0.02,5,0.012,-0.379,0.018,True,0.245,0.018973665961010275,-0.088,0.01341640786499874,12.807,0.24,5.704622,1.0887378646253651
hd167677,7.478,0.094,3,-0.064,0.03,3,0.023,1.775,0.083,5,-0.071,0.033,5,0.02,-0.249,0.03,True,0.185,0.042426406871192854,-0.006999999999999992,0.03605551275463989,13.377,0.705,3.9098609999999994,1.4286975150359855
hd190954,7.512,0.074,3,-0.03,0.108,3,0.077,1.848,0.098,5,0.001,0.012,5,0.012,-0.395,0.027,True,0.365,0.11132385189167683,0.031,0.108664621657649,14.081,0.914,2.3529389999999997,3.1800586605089536
hd196761,7.437,0.064,3,-0.105,0.111,3,0.078,1.751,0.096,5,-0.096,0.005,5,0.009,-0.296,0.021,True,0.191,0.11296902230257638,0.008999999999999994,0.11136426715962351,13.747,0.844,3.3043069999999997,3.249238172559069
hd197083,7.456,0.133,3,-0.086,0.183,3,0.13,1.763,0.099,5,-0.084,0.014,5,0.015,-0.438,0.029,True,0.352,0.18528356645962965,0.001999999999999988,0.18361372497719228,11.65,1.885,3.007746,5.189147455349289
hd207869,7.204,0.06,3,-0.337,0.015,3,0.014,1.698,0.057,5,-0.149,0.037,5,0.021,-0.447,0.026,False,0.10999999999999999,0.03001666203960727,0.18800000000000003,0.025806975801127882,14.696,0.281,-2.175726000000001,1.2547607993856837
hd213941,7.348,0.061,3,-0.194,0.004,3,0.012,1.585,0.088,5,-0.261,0.015,5,0.013,-0.435,0.027,True,0.241,0.02729468812791236,-0.067,0.013601470508735444,14.494,0.247,4.929476999999999,1.0946510237253697
hd216777,7.415,0.069,3,-0.127,0.118,3,0.084,1.702,0.071,5,-0.145,0.026,5,0.016,-0.371,0.02,True,0.244,0.11968291440301744,-0.017999999999999988,0.11907980517283356,13.238,1.364,3.7931839999999992,3.453529511798762
hd219249,7.271,0.04,3,-0.27,0.052,3,0.037,1.727,0.079,5,-0.12,0.017,5,0.012,-0.377,0.021,False,0.10699999999999998,0.056080299571239806,0.15000000000000002,0.053366656256505336,12.938,1.101,-0.8813080000000015,1.7991653039098439
hd224619,7.392,0.092,3,-0.149,0.03,3,0.022,1.811,0.087,5,-0.036,0.016,5,0.01,-0.166,0.02,False,0.017000000000000015,0.03605551275463989,0.11299999999999999,0.03162277660168379,12.435,0.496,0.8724229999999995,1.3431242746093899
hd224685,7.417,0.129,3,-0.124,0.171,3,0.121,1.881,0.122,5,0.034,0.037,5,0.021,-0.397,0.024,True,0.273,0.17267599717389792,0.158,0.17228464818433475,13.252,1.379,-1.171996,4.881777552215074
vesta,7.542,0.063,3,0.0,0.0,3,0.0,1.847,0.092,5,0.0,0.0,5,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,,,4.576,1.013
