,Name,                HIP,Comment,                    RAh,RAm,RAs,DECsign,DECd,DEC’,DEC”,RA_degrees,DEC_degrees,V_mag,band,spectral_type,Planet,Teff,e_Teff,logg,e_logg,[Fe/H],e_feh,works,mass,e_mass
0,HD 000001           ,422,Spectroscopic binary         ,0,5,8.8331,+,67,50,24.013,1.2868047,67.840004,7.43, ,K0            , ,4850,100,2,0.15,-0.12,0.15,1,-1,-1
1,HD 000004           ,423,Star in double system        ,0,5,9.2309,+,30,19,44.514,1.2884622,30.3290329,7.77, ,F0            , ,6580,200,3.44,0.43,0.25,0.11,2,2.001,0.368
2,HD 000006           ,417,                             ,0,5,3.8227,-,0,30,10.928,1.265928,-0.5030355,6.31, ,G9III:        , ,4580,100,2.7,0.15,0.14,0.15,1,1.104,0.203
3,HD 000020           ,434,                             ,0,5,15.3227,-,27,16,18.149,1.3138447,-27.2717075,9.07, ,F2V           , ,5403,74,2.63,0.17,-1.45,0.09,4,2.126,0.6185
4,HD 000023           ,420,                             ,0,5,7.4952,-,52,9,6.268,1.28123,-52.151741,7.541, ,G0V           , ,6203,124.06,4.44,0.15,-0.07,0.15,1,1.121,0.0705
5,HD 000026           ,447,Star with envelope of CH type,0,5,22.2095,+,8,47,16.114,1.3425395,8.7878103,8.22, ,G4V:p         , ,5223,73.122,2.43,0.17,-0.66,0.42,3,1.416,0.7305
6,HD 000028           ,443,Variable of RS CVn type      ,0,5,20.1409,-,5,42,27.426,1.3339205,-5.7076182,4.628, ,K0IIIb        , ,4710,100,2.73,0.15,-0.18,0.15,1,1.055,0.1885
7,HD 000038 A         ,473,Star in double system        ,0,5,41.0129,+,45,48,43.491,1.4208871,45.8120804,8.826, ,K7            , ,4111,100,5.52,0.15,0.05,0.15,1,0.566,0.0215
8,HD 000038 B         ,473,Star in double system        ,0,5,40.9,+,45,48,37.5,1.4204167,45.8104172,8.995, ,K7            , ,4093,100,5.08,0.15,0.02,0.15,1,0.582,0.0265
9,HD 000055           ,436,                             ,0,5,17.6877,-,67,49,57.323,1.3236988,-67.8325882,8.485, ,K4.5V         , ,4584,70,4.58,0.09,-0.66,0.09,3,0.601,0.0215
10,HD 000067           ,459,                             ,0,5,28.4517,-,61,13,33.072,1.3685488,-61.225853,8.83, ,G5V           , ,5746,97.682,4.57,0.11,-0.03,0.11,2,0.979,0.045
11,HD 000070           ,475,                             ,0,5,41.6731,+,58,18,47.734,1.423638,58.3132591,8.218, ,G0            , ,5715,86,4.4,0.09,-0.35,0.09,3,0.881,0.04
12,HD 000087           ,476,86 Peg                       ,0,5,41.9613,+,13,23,46.559,1.4248388,13.396266,5.553, ,G5III         , ,5051,85.867,2.8,0.17,-0.08,0.11,2,2.568,0.473
13,HD 000097           ,484,                             ,0,5,45.9903,-,19,40,12.888,1.4416263,-19.6702461,9.62, ,G5V           , ,5010,70.14,2.63,0.09,-1.22,0.09,3,0.89,0.111
14,HD 000101           ,493,                             ,0,5,54.7486,+,18,14,6.011,1.4781193,18.2350025,7.45, ,F8            , ,5881,82.334,4.41,0.09,-0.23,0.09,3,0.971,0.042
15,HD 000105           ,490,Pre-main sequence Star       ,0,5,52.5449,-,41,45,11.046,1.4689372,-41.753067,7.53, ,G0V           , ,6042,72.504,4.53,0.08,0.05,0.07,4,1.102,0.0355
16,HD 000118           ,501,                             ,0,6,0.1384,-,39,8,15.314,1.5005767,-39.1375885,8.54, ,K3III         , ,6382,127.64,3.68,0.15,-0.27,0.15,1,1.512,0.1685
17,HD 000123           ,518,Spectroscopic binary         ,0,6,15.8142,+,58,26,12.238,1.5658925,58.4367332,5.93, ,G9V+MV        , ,5857,99.569,4.66,0.21,0.05,0.11,2,1.033,0.0515
18,HD 000142           ,522,                             ,0,6,19.1754,-,49,4,30.681,1.5798975,-49.0751877,5.76, ,F7V           ,P,6263,77,4.31,0.17,0.07,0.05,11,1.221,0.054
19,HD 000153           ,530,                             ,0,6,26.0259,+,42,45,9.935,1.6084412,42.752758,8.36, ,G1V           , ,5812,81.368,3.83,0.09,-0.07,0.09,3,1.269,0.1085
20,HD 000156           ,529,                             ,0,6,24.9704,-,18,2,17.708,1.6040434,-18.0382519,7.309, ,F2IV          , ,6730,134.6,3.7,0.15,0.25,0.15,1,1.95,0.1635
21,HD 000166           ,544,Variable of BY Dra type      ,0,6,36.7839,+,29,1,17.406,1.6532662,29.0215015,6.13, ,K0V           , ,5490,67,4.54,0.05,0.11,0.05,10,0.95,0.0305
22,HD 000189           ,547,                             ,0,6,39.5975,-,24,37,15.024,1.6649896,-24.6208401,8.55, ,F7V           , ,6374,127.48,3.79,0.15,0.13,0.15,1,1.628,0.164
23,HD 000200           ,556,                             ,0,6,46.972,-,4,21,0.095,1.6957166,-4.3500261,8.21, ,F8            , ,5998,119.96,3.87,0.15,-0.21,0.15,1,1.198,0.144
24,HD 000203           ,560,                             ,0,6,50.0863,-,23,6,27.144,1.708693,-23.1075401,6.194, ,F3V           , ,6883,137.66,4.27,0.15,-0.09,0.15,1,1.399,0.0835
25,HD 000208           ,569,                             ,0,6,53.8806,-,3,37,34.549,1.7245024,-3.6262639,8.19, ,G1V           , ,5927,100.759,4.41,0.11,-0.31,0.11,2,0.96,0.051
26,HD 000245           ,705,Spectroscopic binary         ,0,8,50.8272,+,86,47,16.375,2.2117801,86.7878799,8.37, ,G2V           , ,5512,143,3.66,0.3,-0.71,0.1,4,0.957,0.1635
27,HD 000249           ,607,                             ,0,7,22.5625,+,26,27,2.163,1.8440105,26.4506016,7.33, ,K1IV          , ,4766,70,2.91,0.09,-0.21,0.1,3,1.023,0.139
28,HD 000268           ,606,                             ,0,7,22.5437,-,25,21,23.936,1.843932,-25.3566494,7.06, ,F5V           , ,6486,129.72,4.24,0.15,-0.24,0.15,1,1.205,0.086
29,HD 000283           ,616,                             ,0,7,32.541,-,23,49,7.39,1.8855876,-23.8187199,8.7, ,K0V           , ,5149,61.788,4.54,0.07,-0.53,0.07,4,0.72,0.026
30,HD 000285           ,612,                             ,0,7,28.1319,-,56,0,41.338,1.8672162,-56.0114822,7.483, ,F5IV/V        , ,6445,128.9,3.63,0.15,-0.06,0.15,1,1.658,0.165
31,HD 000299           ,641,                             ,0,7,52.0852,+,55,34,37.353,1.9670217,55.5770416,7.831, ,G0            , ,6000,120,4.35,0.15,0.2,0.15,1,1.135,0.078
32,HD 000307           ,624,                             ,0,7,37.4302,-,45,7,10.337,1.9059591,-45.1195374,8.22, ,F9V           , ,6112,122.24,3.87,0.15,0.19,0.15,1,1.458,0.1545
33,HD 000330           ,656,                             ,0,8,4.6918,+,53,47,46.485,2.0195491,53.7962456,8.16, ,F8            , ,5770,80.78,3.83,0.09,-0.25,0.09,3,1.187,0.108
34,HD 000333           ,650,                             ,0,8,0.7619,+,29,50,15.047,2.0031748,29.837513,7.54, ,F2            , ,6787,135.74,3.46,0.15,0.03,0.15,1,2.01,0.205
35,HD 000334           ,649,                             ,0,8,0.2353,-,7,32,40.908,2.0009804,-7.5446968,7.86, ,F5V           , ,6377,127.54,4.09,0.15,-0.06,0.15,1,1.273,0.1165
36,HD 000344           ,655,                             ,0,8,3.4868,-,33,31,45.572,2.0145285,-33.5293236,5.675, ,K1III         , ,4750,100,2.59,0.15,0.12,0.15,1,1.4,0.577
37,HD 000360           ,671,HR 16                        ,0,8,17.5325,-,8,49,26.804,2.0730522,-8.8241119,5.992, ,G8III:        , ,4825,89,2.77,0.15,-0.11,0.07,4,1.239,0.368
38,HD 000361           ,669,                             ,0,8,16.3618,-,14,49,28.17,2.0681744,-14.8244915,7.03, ,G1V           , ,5897,58.97,4.52,0.05,-0.12,0.05,5,1.019,0.0275
39,HD 000371           ,695,                             ,0,8,32.8557,+,63,12,14.545,2.136899,63.2040405,6.43, ,G3II          , ,5235,104.7,1.6,0.15,-0.09,0.15,1,3.142,0.1955
40,HD 000373           ,691,                             ,0,8,30.1987,+,52,20,11.247,2.125828,52.3364563,7.8, ,F5            , ,6937,138.74,4.31,0.15,-0.36,0.15,1,1.299,0.0825
41,HD 000377           ,682,Pre-main sequence Star       ,0,8,25.7456,+,6,37,0.488,2.1072736,6.6168022,7.59, ,G2V           , ,5884,100.028,4.37,0.11,0.14,0.11,2,1.074,0.0585
42,HD 000392           ,688,                             ,0,8,27.6629,-,24,5,37.44,2.1152623,-24.0937347,7.6, ,F4V           , ,6380,127.6,3.77,0.15,0.15,0.15,1,1.644,0.1645
43,HD 000400           ,699,                             ,0,8,40.9382,+,36,37,37.65,2.1705759,36.6271248,6.223, ,F8IV          , ,6176,61.76,4.11,0.07,-0.23,0.05,13,1.147,0.051
44,HD 000404           ,723,                             ,0,8,57.2333,+,66,27,23.984,2.2384722,66.4566574,8.61, ,G5            , ,5070,101.4,4.4,0.15,0.01,0.15,1,0.813,0.042
45,HD 000417           ,716,                             ,0,8,52.1365,+,25,27,46.745,2.2172356,25.462986,6.253, ,K0III         , ,4858,100,2.45,0.15,-0.3,0.15,1,1.321,0.571
46,HD 000427           ,706,                             ,0,8,46.1872,-,34,47,39.744,2.1924467,-34.7943726,7.878, ,F3V           , ,6390,127.8,3.64,0.15,0.04,0.15,1,1.676,0.167
47,HD 000432           ,746,delta Sct type               ,0,9,10.6851,+,59,8,59.207,2.2945213,59.1497803,2.27, ,F2IV          , ,6940,138.8,3.65,0.15,0.03,0.15,1,1.978,0.166
48,HD 000439           ,709,                             ,0,8,48.4971,-,47,3,38.785,2.2020712,-47.0607719,7.81, ,F5IV          , ,6620,132.4,3.82,0.15,0.21,0.15,1,1.776,0.1825
49,HD 000448           ,729,87 Peg                       ,0,9,2.4247,+,18,12,43.067,2.260103,18.2119637,5.565, ,G9III         , ,4824,93,2.81,0.21,0.12,0.07,4,1.398,0.5035
50,HD 000454           ,721,                             ,0,8,55.3148,-,26,13,25.133,2.2304785,-26.2236481,9.13, ,K1III         , ,4540,100,2.1,0.15,-0.26,0.15,1,1.19,0.3985
51,HD 000457           ,726,                             ,0,8,59.6788,-,39,44,13.773,2.2486618,-39.7371597,7.731, ,G0V           , ,6116,103.972,4.33,0.11,0.32,0.11,2,1.239,0.0605
52,HD 000469           ,730,Double or multiple star      ,0,9,2.37,-,54,0,6.54,2.2598751,-54.0018158,6.33, ,G4IV          , ,5298,105.96,2.6,0.15,-0.03,0.15,1,2.9,0.1315
53,HD 000489           ,768,Double or multiple star      ,0,9,28.153,+,19,6,56.854,2.3673043,19.1157932,7.96, ,G3V           , ,5722,80.108,4.2,0.15,0.03,0.09,3,1.001,0.057
54,HD 000496           ,765,eps Phe                      ,0,9,24.642,-,45,44,50.734,2.352675,-45.7474251,3.88, ,K0III         , ,4893,100,3,0.15,0.13,0.15,1,1.353,0.452
55,HD 000531 A         ,795,Star in double system        ,0,9,51.6483,+,8,27,11.41,2.4652014,8.4531689,9.35, ,G6V           , ,5778,115.56,4.71,0.15,0.21,0.15,1,1.04,0.0595
56,HD 000531 B         ,795,Star in double system        ,0,9,51.328,+,8,27,11.34,2.4638667,8.4531498,9.42, ,G7V           , ,5707,114.14,4.62,0.15,0.18,0.15,1,1.011,0.059
57,HD 000547           ,791,                             ,0,9,48.559,-,40,53,34.562,2.4523292,-40.8929367,8.56, ,G3V           , ,5969,119.38,4.23,0.15,-0.08,0.15,1,1.058,0.08
58,HD 000553           ,834,Eclipsing binary Spec binary ,0,10,10.4647,+,64,38,48.172,2.5436029,64.6467133,8.14, ,K0II          , ,4645,100,3.38,0.15,-0.23,0.15,1,0.976,0.0655
59,HD 000553 secondary ,834,Spec binary secondary        ,0,10,10.4647,+,64,38,48.172,2.5436029,64.6467133,8.14, ,G2IV-V        , ,5940,118.8,4.4,0.15,-0.41,0.15,1,0.931,0.063
60,HD 000560 B         ,813,                             ,0,10,2.381,+,11,8,37.83,2.5099208,11.1438417,10.37, ,G5Ve          , ,5370,107.4,4.5,0.15,-0.1,0.15,1,0.853,0.045
61,HD 000564           ,801,                             ,0,9,52.8212,-,50,16,4.16,2.4700885,-50.2678223,8.322, ,G2/G3V        , ,5961,101.337,4.49,0.11,-0.25,0.11,2,0.983,0.05
62,HD 000571           ,841,                             ,0,10,19.2459,+,46,4,20.178,2.5801914,46.0722694,5.035, ,F2II          , ,6270,125.4,2.1,0.15,-0.06,0.15,1,-1,-1
63,HD 000578           ,815,                             ,0,10,2.5789,-,63,17,48.372,2.5107455,-63.2967682,8.14, ,F3V           , ,6530,130.6,4.06,0.15,-0.05,0.15,1,1.353,0.128
64,HD 000587           ,840,                             ,0,10,18.8698,-,5,14,54.916,2.5786242,-5.2485876,5.854, ,K1III         , ,4866,85,2.94,0.13,-0.1,0.11,2,1.187,0.2935
65,HD 000615           ,856,                             ,0,10,29.5725,+,15,13,54.374,2.6232188,15.2317705,8.24, ,F6V           , ,6448,128.96,4.34,0.15,0.03,0.15,1,1.256,0.078
66,HD 000631           ,867,                             ,0,10,39.1276,+,12,49,12.83,2.6630316,12.8202305,8.47, ,G5            , ,6076,121.52,4.4,0.15,-0.05,0.15,1,1.083,0.0705
67,HD 000633           ,870,                             ,0,10,40.7236,+,2,3,19.95,2.6696818,2.0555415,7.51, ,F8            , ,6401,128.02,4.3,0.15,-0.02,0.15,1,1.227,0.079
68,HD 000645           ,873,                             ,0,10,42.8347,-,12,34,47.628,2.678478,-12.5798969,5.87, ,K0III         , ,4841,70,3.16,0.19,0.06,0.09,3,1.151,0.2175
69,HD 000691           ,919,Variable of BY Dra type      ,0,11,22.4373,+,30,26,58.474,2.8434889,30.4495754,7.96, ,K0V           , ,5561,94.537,4.57,0.11,0.25,0.11,2,0.998,0.0455
