id,age_mp,age_ll1s,age_ul1s,age_ll2s,age_ul2s,age_mean,age_std,mass_mp,mass_ll1s,mass_ul1s,mass_ll2s,mass_ul2s,mass_mean,mass_std,logl_mp,logl_ll1s,logl_ul1s,logl_ll2s,logl_ul2s,logl_mean,logl_std,mv_mp,mv_ll1s,mv_ul1s,mv_ll2s,mv_ul2s,mv_mean,mv_std,r_mp,r_ll1s,r_ul1s,r_ll2s,r_ul2s,r_mean,r_std
hd008638,15.100,14.507,nan,13.772,nan,14.605,0.401,0.860,0.842,0.871,0.826,0.896,0.854,0.014,-0.070,-0.101,-0.023,-0.129,0.000,-0.056,0.039,5.070,4.958,5.151,4.829,5.219,5.029,0.096,1.030,0.990,1.077,0.962,1.150,1.039,0.047
hd008828,14.800,14.272,15.003,13.543,15.086,14.560,0.425,0.840,0.832,0.849,0.822,0.885,0.840,0.007,-0.140,-0.155,-0.126,-0.169,-0.100,-0.135,0.015,5.250,5.222,5.282,5.149,5.324,5.244,0.036,0.970,0.954,0.982,0.939,1.018,0.974,0.016
hd012345,14.700,14.019,14.965,13.162,15.080,14.386,0.526,0.860,0.850,0.874,0.837,0.887,0.863,0.012,-0.090,-0.107,-0.057,-0.132,-0.022,-0.081,0.024,5.140,5.049,5.178,4.996,5.252,5.103,0.060,1.030,1.005,1.063,0.975,1.091,1.030,0.028
hd014747,14.600,13.522,14.918,12.382,15.073,14.010,0.749,0.870,0.853,0.887,0.837,0.906,0.868,0.016,-0.030,-0.057,0.009,-0.082,0.039,-0.018,0.030,4.970,4.867,5.036,4.784,5.092,4.928,0.077,1.060,1.025,1.104,0.993,1.138,1.067,0.037
hd019034,15.100,14.442,nan,13.574,nan,14.546,0.463,0.830,0.817,0.840,0.803,0.858,0.828,0.012,-0.100,-0.138,-0.077,-0.167,-0.035,-0.119,0.027,5.160,5.130,5.246,5.052,5.322,5.193,0.068,0.980,0.945,0.997,0.916,1.037,0.965,0.028
hd020794,14.700,13.776,14.968,12.322,15.081,14.209,0.773,0.810,0.800,0.817,0.790,0.907,0.806,0.007,-0.200,-0.226,-0.175,-0.250,-0.145,-0.204,0.023,5.420,5.371,5.483,5.316,5.539,5.423,0.056,0.900,0.878,0.918,0.855,0.941,0.895,0.018
hd030278,15.100,14.592,nan,14.021,nan,14.684,0.325,0.860,0.851,0.868,0.841,0.879,0.859,0.008,-0.090,-0.106,-0.078,-0.133,0.097,-0.090,0.018,5.140,5.108,5.184,5.014,5.244,5.132,0.047,1.020,1.000,1.038,0.975,1.088,1.024,0.021
hd045364,13.700,12.656,14.473,11.612,14.971,13.475,0.883,0.860,0.849,0.881,0.836,0.898,0.868,0.015,-0.090,-0.108,-0.064,-0.128,-0.042,-0.083,0.021,5.100,5.045,5.151,4.994,5.216,5.101,0.052,1.010,0.989,1.038,0.966,1.073,1.016,0.024
hd078558,11.300,10.177,12.785,9.008,14.114,11.594,1.286,0.940,0.893,0.973,0.852,1.007,0.927,0.039,0.150,0.114,0.187,0.080,0.218,0.150,0.036,4.470,4.380,4.567,4.292,4.662,4.478,0.091,1.220,1.172,1.273,1.125,1.325,1.220,0.049
hd085119,14.500,12.679,14.866,10.795,15.063,13.335,1.208,0.820,0.812,0.838,0.803,0.909,0.823,0.008,-0.190,-0.213,-0.164,-0.237,-0.116,-0.183,0.022,5.380,5.318,5.436,5.270,5.499,5.364,0.054,0.920,0.892,0.935,0.863,0.969,0.911,0.022
hd093351,14.800,14.153,15.002,13.350,15.086,14.462,0.488,0.860,0.848,0.870,0.837,0.879,0.859,0.010,-0.060,-0.095,-0.043,-0.118,-0.012,-0.073,0.025,5.060,5.022,5.137,4.935,5.182,5.079,0.063,1.040,1.003,1.069,0.978,1.216,1.029,0.029
