id,age_mp,age_ll1s,age_ul1s,age_ll2s,age_ul2s,age_mean,age_std,mass_mp,mass_ll1s,mass_ul1s,mass_ll2s,mass_ul2s,mass_mean,mass_std,logl_mp,logl_ll1s,logl_ul1s,logl_ll2s,logl_ul2s,logl_mean,logl_std,mv_mp,mv_ll1s,mv_ul1s,mv_ll2s,mv_ul2s,mv_mean,mv_std,r_mp,r_ll1s,r_ul1s,r_ll2s,r_ul2s,r_mean,r_std,logg_mp,logg_ll1s,logg_ul1s,logg_ll2s,logg_ul2s,logg_mean,logg_std
hd008638,14.700,13.393,14.957,12.193,15.079,14.183,0.817,0.810,0.801,0.824,0.792,0.839,0.813,0.010,-0.160,-0.168,-0.143,-0.178,-0.132,-0.162,0.004,5.310,5.300,5.320,5.289,5.329,5.310,0.010,0.920,0.912,0.935,0.903,0.945,0.920,0.005,4.420,4.407,4.435,4.394,4.449,4.422,0.013
hd008828,11.200,10.453,12.391,9.890,12.885,11.522,0.842,0.840,0.829,0.849,0.816,0.915,0.838,0.009,-0.220,-0.228,-0.205,-0.236,-0.195,-0.220,0.005,5.460,5.449,5.470,5.436,5.486,5.460,0.010,0.890,0.881,0.904,0.872,0.909,0.885,0.006,4.470,4.454,4.483,4.441,4.496,4.467,0.013
hd012345,13.600,11.787,14.287,9.822,15.018,12.811,1.357,0.800,0.791,0.823,0.781,0.854,0.807,0.016,-0.240,-0.247,-0.230,-0.250,-0.212,-0.235,0.005,5.500,5.489,5.514,5.476,5.553,5.501,0.011,0.860,0.853,0.870,0.850,0.904,0.863,0.006,4.470,4.453,4.487,4.438,4.503,4.470,0.016
hd014747,13.600,12.259,14.668,11.135,15.050,13.549,0.995,0.830,0.821,0.849,0.812,0.915,0.836,0.014,-0.110,-0.118,-0.101,-0.125,-0.082,-0.107,0.006,5.160,5.148,5.171,5.135,5.180,5.159,0.011,0.970,0.958,0.984,0.947,0.989,0.964,0.007,4.390,4.375,4.407,4.362,4.425,4.392,0.015
hd019034,14.500,14.146,14.774,13.401,15.006,14.407,0.368,0.830,0.821,0.846,0.812,0.869,0.827,0.007,-0.130,-0.137,-0.123,-0.140,-0.120,-0.128,0.005,5.220,5.208,5.229,5.195,5.240,5.217,0.010,0.960,0.951,0.974,0.942,0.979,0.955,0.006,4.390,4.378,4.405,4.367,4.418,4.393,0.012
hd020794,14.100,13.802,14.435,12.961,14.915,14.119,0.388,0.810,0.803,0.819,0.800,0.867,0.813,0.005,-0.190,-0.197,-0.180,-0.200,-0.171,-0.186,0.006,5.370,5.359,5.383,5.340,5.419,5.369,0.011,0.910,0.903,0.924,0.895,0.929,0.911,0.006,4.430,4.416,4.443,4.403,4.454,4.429,0.012
hd030278,13.100,11.676,13.965,10.632,14.719,12.583,1.053,0.830,0.819,0.850,0.807,0.907,0.838,0.013,-0.200,-0.208,-0.192,-0.216,-0.183,-0.199,0.005,5.410,5.397,5.425,5.384,5.472,5.409,0.011,0.910,0.902,0.917,0.892,0.924,0.910,0.007,4.440,4.427,4.457,4.413,4.474,4.443,0.014
hd045364,12.700,11.129,14.172,9.869,14.696,12.532,1.349,0.820,0.804,0.845,0.793,0.874,0.828,0.018,-0.190,-0.197,-0.182,-0.203,-0.173,-0.188,0.005,5.370,5.360,5.383,5.349,5.399,5.371,0.010,0.900,0.892,0.908,0.885,0.916,0.901,0.006,4.440,4.425,4.459,4.412,4.478,4.443,0.016
hd078558,11.700,10.655,13.473,9.588,14.002,12.161,1.249,0.920,0.874,0.945,0.856,0.974,0.904,0.031,0.130,0.121,0.144,0.112,0.149,0.126,0.005,4.540,4.530,4.553,4.518,4.563,4.543,0.011,1.190,1.177,1.204,1.165,1.209,1.185,0.008,4.240,4.222,4.266,4.208,4.287,4.247,0.020
hd085119,7.400,6.538,8.538,5.687,9.580,7.568,0.937,0.840,0.830,0.862,0.821,0.920,0.842,0.009,-0.270,-0.279,-0.254,-0.288,-0.243,-0.274,0.005,5.590,5.579,5.603,5.568,5.618,5.590,0.010,0.820,0.813,0.829,0.810,0.862,0.822,0.004,4.530,4.515,4.544,4.501,4.558,4.529,0.014
