Unnamed: 0,Name,                HIP,Comment,                    RAh,RAm,RAs,DECsign,DECd,DEC’,DEC”,RA_degrees,DEC_degrees,V_mag,band,spectral_type,Planet,Teff,e_Teff,logg,e_logg,[Fe/H],e_feh,works,mass,e_mass
524,hd008638,6607,                             ,1,24,49.207,-,27,50,20.564,21.2050285,-27.8390465,8.36, ,G6V           , ,5493,54.93,4.48,0.06,-0.38,0.05,10,0.82,0.0265
536,hd008828,6762,                             ,1,27,1.5472,-,0,9,27.303,21.7564468,-0.1575842,7.93, ,G5V           , ,5401,54.01,4.5,0.07,-0.12,0.06,5,0.861,0.0285
754,hd012345,9404,                             ,2,0,48.7505,-,12,52,29.926,30.203125,-12.87498,8.77, ,G8III         , ,5408,75.712,4.47,0.09,-0.2,0.09,3,0.842,0.0335
862,hd014747,10842,                             ,2,19,33.7374,-,67,41,54.489,34.8905716,-67.6984711,8.12, ,G7VFe-09      , ,5529,55.29,4.4,0.08,-0.34,0.05,5,0.832,0.0245
1088,hd019034,14241,                             ,3,3,38.9588,-,5,39,58.67,45.9123268,-5.6662974,8.09, ,G5V           , ,5495,54.95,4.49,0.11,-0.45,0.05,12,0.802,0.0275
1169,hd020794,15510,82 Eri                       ,3,19,55.6509,-,43,4,11.217,49.9818764,-43.0697823,4.27, ,G6V           ,P,5422,54.22,4.43,0.12,-0.4,0.05,16,0.801,0.026
1647,hd030278,21960,                             ,4,43,13.6854,-,54,35,36.338,70.8070221,-54.5934258,7.6, ,G9V           , ,5401,75.614,4.42,0.09,-0.17,0.09,3,0.851,0.032
2207,hd045364,30579,                             ,6,25,38.4744,-,31,28,51.428,96.4103088,-31.4809532,8.06, ,G8V           ,P,5449,76.286,4.43,0.09,-0.16,0.09,3,0.861,0.033
3028,hd078558,44860,                             ,9,8,25.2378,-,15,8,41.237,137.1051483,-15.1447878,7.34, ,G0.5V         , ,5727,63.0,4.31,0.12,-0.43,0.05,14,0.863,0.0305
3191,hd085119,48141,                             ,9,48,50.0929,-,37,18,34.741,147.208725,-37.3096504,8.84, ,G8V           , ,5437,76.118,4.54,0.09,-0.17,0.09,3,0.861,0.0355
3453,hd093351,52720,                             ,10,46,42.6119,-,1,41,16.667,161.6775513,-1.6879631,9.14, ,K0            , ,5408,108.16,4.41,0.15,-0.23,0.15,1,0.842,0.046
3627,hd098281,55210,                             ,11,18,22.0115,-,5,4,2.288,169.5917053,-5.0673022,7.232, ,G8V           , ,5400,54.0,4.49,0.07,-0.23,0.05,9,0.832,0.0265
3943,hd107094,60051,                             ,12,18,56.4629,-,45,52,53.559,184.73526,-45.8815422,9.13, ,G5V           , ,5571,77.994,4.53,0.09,-0.5,0.09,3,0.811,0.037
4096,hd110619,62107,                             ,12,43,42.7245,-,37,42,29.33,190.928009,-37.708149,7.52, ,G5V           , ,5614,95.438,4.52,0.11,-0.41,0.11,2,0.842,0.043
