id,teff,logg,feh_model,vt,feh,err_feh_,feh1,err_feh1,nfe1,feh2,err_feh2,nfe2,slope_ep,err_slope_ep,slope_rew,err_slope_rew,stop_iter,converged,err_teff,err_logg,err_feh,err_vt,[alpha/Fe],err_[alpha/Fe],[MgI],e_[MgI],[M/H],err_[M/H],discoespesso
hd008638,5489.0,4.28,-0.389,0.86,-0.387,0.03,-0.386,0.029,98.0,-0.391,0.038,17.0,0.0,0.002,0.001,0.01,44.0,True,10.0,0.031,0.008,0.02,0.116,0.009,-0.083,0.077,-0.288,0.0601876445080068,True
hd008828,5416.0,4.35,-0.149,0.81,-0.147,0.025,-0.146,0.022,98.0,-0.152,0.042,17.0,0.0,0.002,0.004,0.009,44.0,True,7.0,0.021,0.007,0.02,0.044,0.008,-0.058,0.04,-0.157,0.0274416210903274,False
hd012345,5434.0,4.33,-0.152,0.79,-0.15,0.025,-0.149,0.023,98.0,-0.154,0.036,17.0,0.0,0.002,0.004,0.009,42.0,True,8.0,0.022,0.007,0.02,0.045,0.008,0.001,0.088,-0.117,0.0629812675780764,True
hd014747,5536.0,4.31,-0.357,0.81,-0.355,0.026,-0.354,0.025,98.0,-0.36,0.033,17.0,0.0,0.002,0.005,0.009,41.0,True,9.0,0.026,0.008,0.02,0.107,0.008,-0.014,0.1,-0.22,0.0795848437189676,True
hd019034,5482.0,4.29,-0.466,0.79,-0.464,0.031,-0.463,0.031,98.0,-0.467,0.031,17.0,-0.001,0.002,0.003,0.01,50.0,True,11.0,0.034,0.008,0.03,0.139,0.009,-0.112,0.061,-0.343,0.0487960079208192,True
hd020794,5417.0,4.3,-0.395,0.82,-0.394,0.044,-0.393,0.044,98.0,-0.398,0.049,17.0,0.0,0.003,0.005,0.015,47.0,True,17.0,0.046,0.013,0.04,0.118,0.013,-0.119,0.028,-0.319,0.0215628662017715,True
hd030278,5413.0,4.3,-0.126,0.8,-0.129,0.027,-0.129,0.024,98.0,-0.126,0.042,17.0,0.0,0.002,-0.002,0.01,42.0,True,8.0,0.024,0.008,0.02,0.039,0.008,0.003,0.055,-0.105,0.038874771809783,True
hd045364,5469.0,4.36,-0.145,0.86,-0.147,0.022,-0.147,0.02,98.0,-0.144,0.031,17.0,0.0,0.001,-0.003,0.008,39.0,True,6.0,0.019,0.006,0.02,0.044,0.007,0.034,0.091,-0.092,0.0663866931716525,True
hd078558,5706.0,4.23,-0.449,1.03,-0.447,0.024,-0.447,0.024,98.0,-0.445,0.025,17.0,0.0,0.002,0.0,0.007,27.0,True,10.0,0.027,0.007,0.02,0.134,0.007,0.058,0.154,-0.196,0.1309707179998039,True
hd085119,5447.0,4.42,-0.161,1.08,-0.163,0.032,-0.163,0.03,98.0,-0.159,0.046,17.0,0.0,0.002,-0.001,0.012,43.0,True,9.0,0.03,0.008,0.02,0.049,0.01,-0.222,0.033,-0.272,0.0201275264875242,False
hd093351,5459.0,4.32,-0.193,0.8,-0.191,0.029,-0.191,0.026,98.0,-0.194,0.045,17.0,-0.001,0.002,0.003,0.01,36.0,True,9.0,0.025,0.008,0.02,0.057,0.009,-0.02,0.062,-0.152,0.0449502719709037,True
hd098281,5411.0,4.36,-0.238,0.8,-0.24,0.022,-0.239,0.019,98.0,-0.243,0.036,17.0,0.0,0.001,0.006,0.007,44.0,True,6.0,0.019,0.006,0.02,0.072,0.007,-0.075,0.07,-0.215,0.0505544392954626,True
hd107094,5556.0,4.41,-0.491,0.89,-0.493,0.025,-0.493,0.025,98.0,-0.49,0.026,17.0,0.001,0.002,-0.005,0.008,33.0,True,9.0,0.027,0.008,0.02,0.148,0.008,-0.15,0.215,-0.385,0.1712680690681651,True
hd110619,5598.0,4.37,-0.406,0.91,-0.405,0.021,-0.404,0.019,98.0,-0.408,0.031,17.0,-0.001,0.001,0.005,0.006,37.0,True,7.0,0.02,0.006,0.02,0.122,0.006,-0.307,0.027,-0.461,0.0186447113028263,False
hd111232,5474.0,4.33,-0.432,0.83,-0.43,0.027,-0.43,0.025,98.0,-0.434,0.038,17.0,0.0,0.002,0.002,0.008,38.0,True,9.0,0.026,0.007,0.02,0.129,0.008,-0.247,0.028,-0.431,0.0204556955061663,True
hd128674,5570.0,4.39,-0.371,0.91,-0.37,0.021,-0.37,0.019,98.0,-0.371,0.032,17.0,-0.001,0.001,0.004,0.006,42.0,True,7.0,0.021,0.006,0.02,0.111,0.006,-0.106,0.134,-0.298,0.1025812748958641,True
hd132648,5440.0,4.41,-0.35,0.85,-0.349,0.024,-0.348,0.019,98.0,-0.352,0.046,17.0,0.0,0.001,0.002,0.007,42.0,True,6.0,0.02,0.006,0.02,0.105,0.007,-0.264,0.049,-0.403,0.0335102994234055,False
hd133633,5578.0,4.35,-0.445,0.89,-0.444,0.022,-0.444,0.022,98.0,-0.44,0.027,17.0,-0.001,0.002,0.0,0.007,33.0,True,8.0,0.025,0.007,0.02,0.133,0.007,-0.163,0.115,-0.375,0.0888357213684938,True
hd150433,5668.0,4.33,-0.377,1.01,-0.379,0.018,-0.379,0.017,98.0,-0.378,0.025,17.0,0.001,0.001,-0.005,0.005,33.0,True,6.0,0.019,0.005,0.01,0.114,0.005,-0.134,0.006,-0.323,0.0045485273722963,True
hd167677,5492.0,4.31,-0.247,0.81,-0.249,0.03,-0.25,0.029,98.0,-0.245,0.034,17.0,0.0,0.002,-0.003,0.011,38.0,True,10.0,0.03,0.007,0.02,0.075,0.009,-0.064,0.03,-0.211,0.021944404290981,True
hd190954,5445.0,4.34,-0.394,0.78,-0.395,0.027,-0.396,0.025,98.0,-0.392,0.039,17.0,0.0,0.002,-0.002,0.009,44.0,True,8.0,0.027,0.007,0.02,0.119,0.008,-0.03,0.108,-0.249,0.0869055396034569,True
hd196761,5448.0,4.39,-0.294,0.85,-0.296,0.021,-0.296,0.018,98.0,-0.293,0.035,17.0,0.0,0.001,-0.005,0.007,50.0,True,6.0,0.019,0.006,0.02,0.089,0.006,-0.105,0.111,-0.263,0.0814779489073486,True
